date,sender_id,receiver_id,amount,is_suspicious
2025-12-27,04c7c684,649012b2,1677.89,0
2025-09-05,7123af15,df445c21,1955.7,0
2025-04-13,c702a41c,1574bf86,4187.34,0
2025-07-17,91230fef,c731c866,2959.04,0
2025-07-02,0a83047f,d7cd98ef,6420.79,0
2025-03-02,877f60bc,7916f81f,944.08,0
2025-07-01,d1975028,19cd9183,1372.88,0
2025-09-09,d1975028,0b3205ee,6458.43,0
2025-11-22,4a5633f2,fccc1ce3,1336.98,0
2025-05-02,4aaf8f05,d7cd98ef,11896.69,0
2026-01-03,2af59473,36ae1a70,12151.47,0
2025-06-22,440639f9,566a6512,11995.97,0
2025-07-23,452625ce,6ef8f218,1235.66,0
2025-05-29,4aaf8f05,a60fb8e9,3219.22,0
2025-11-22,745fca8f,7054287f,1819.96,0
2025-03-26,e9e12450,8c8b908c,7503.78,0
2025-12-11,91230fef,ac838dfb,16425.74,0
2025-07-31,237318ee,7c08bd89,7140.87,0
2025-10-02,2ad6e70c,47cb337d,3008.34,0
2025-08-31,6cafd567,a60fb8e9,2068.26,0
2025-03-29,91230fef,745fca8f,5704.93,0
2025-11-09,8f849ff6,dc479aa7,877.54,0
2026-01-06,e570d5ec,7e672c4e,50000.0,1
2025-06-08,523b5dc6,86c6817b,5096.64,0
2025-09-14,b1a7066b,d82bf62b,1194.29,0
2025-12-01,c2cdd5cc,eaa96e01,5544.43,0
2026-01-08,9bf6ac02,555428a4,2537.82,0
2025-11-22,f3b8a245,63b0e66c,2021.78,0
2025-11-28,b7bba056,70e1cdd4,1229.65,0
2025-10-03,d222aedd,f6536a4d,2086.52,0
2025-03-01,8ed9a9de,23b06a28,5198.48,0
2025-03-31,63533d50,34076340,8466.4,0
2025-06-05,7054287f,33629c40,5046.49,0
2025-07-01,dd250182,0b18c8cc,11659.62,0
2025-07-07,7c1c765a,9255b559,37765.93,0
2025-09-18,c85c5eef,523b5dc6,2154.92,0
2025-08-04,b7bba056,a311b562,2426.33,0
2025-05-14,5d60391f,b35cf6ad,706.24,0
2025-12-14,3140cc7f,03f41f7e,9805.78,0
2025-10-27,4aaf8f05,989552d5,10931.42,0
2025-08-27,63b0e66c,0b3205ee,1252.45,0
2025-04-16,34076340,69f41f26,5528.33,0
2025-10-23,3140cc7f,f79d4c30,10067.53,0
2025-07-04,aad67503,a0c1b691,3737.93,0
2025-07-04,d82bf62b,ccdbfa8a,6956.29,0
2025-11-01,e478be96,c17e7858,3550.46,0
2025-05-22,69f41f26,6bc15004,882.84,0
2025-02-14,a47e612a,7916f81f,8512.98,0
2025-04-09,cd1a58c2,877f60bc,11216.1,0
2025-02-04,ba2477db,28551d8a,6213.63,0
2025-12-26,c731c866,e841d17a,1147.69,0
2025-04-17,62cf56d7,566a6512,1406.45,0
2025-10-19,2af59473,ef3c7dc8,962.54,0
2025-06-17,dc479aa7,28551d8a,6438.03,0
2025-04-15,473e05b1,d1975028,10597.67,0
2025-02-11,eae42039,df445c21,4557.3,0
2025-12-05,d98debb1,df167bb2,7635.29,0
2025-11-05,566a6512,ab6c3582,1251.83,0
2025-05-08,f3b8a245,4a5633f2,3449.08,0
2025-05-12,c063c078,93cfd370,757.58,0
2025-03-11,a5b4d340,e8e15988,1377.77,0
2025-03-20,0a83047f,b35cf6ad,7177.26,0
2025-03-26,ccdbfa8a,8ae3987d,2345.86,0
2025-09-02,8e173cdd,1120daea,9990.42,0
2026-01-11,a311b562,33629c40,5104.92,0
2025-10-23,555428a4,3202cdc9,45909.26,0
2025-10-17,0b77f6ce,b1a7066b,3273.99,0
2025-03-22,85e7b9dd,5d60391f,730.4,0
2026-01-19,f8aaa70c,c063c078,2879.78,0
2025-04-21,3fb32d21,af88f967,1137.95,0
2025-10-01,90778f7f,b450e1bc,7920.27,0
2025-08-11,5d60391f,ca146ffa,3108.76,0
2025-02-03,c2cdd5cc,bb3235db,2598.6,0
2025-12-19,9dcaaa36,759075c9,2632.97,0
2025-11-15,649012b2,34076340,6250.03,0
2025-06-29,72fbb04b,8a9e31de,1896.07,0
